true,predict
69.5,69.5
69.5,69.33500000000001
69.5,69.965
69.5,70.05
70.5,69.6125
70.5,69.0125
70.5,69.1375
70.5,68.9875
70.5,68.8625
70.5,68.3125
70.5,68.15
70.5,68.15
70.5,67.95
70.5,67.75
70.5,67.5
70.5,67.55
70.5,67.2
70.5,66.95
70.5,66.125
70.5,65.7
70.5,65.375
71.0,65.375
71.0,65.375
71.0,65.35
71.0,65.025
71.0,64.725
71.0,64.0
71.0,63.725
71.0,63.575
70.4959,63.425
70.4959,70.49589999999998
69.9959,70.3309
69.9959,71.2109
69.9959,71.29589999999999
69.9959,70.95839999999998
69.9959,70.40839999999999
69.9959,70.60839999999999
69.4959,70.50839999999998
68.9959,70.38339999999998
67.6959,69.88339999999998
67.6959,69.74589999999998
67.1959,69.74589999999998
67.1959,69.54589999999999
65.9959,69.39589999999998
63.9959,69.14589999999998
62.9959,69.19589999999998
62.9959,68.84589999999999
61.9959,68.59589999999999
60.9959,67.77089999999998
60.9959,67.34589999999999
59.4959,67.02089999999998
57.9959,67.02089999999998
57.8959,67.02089999999998
57.3959,66.99589999999998
57.3959,66.57089999999998
57.3959,66.22089999999999
57.3959,65.42089999999999
57.3959,65.14589999999998
54.8959,64.99589999999998
54.8959,64.79589999999999
53.8959,54.8959
53.8959,54.855899999999984
52.8959,55.84589999999999
52.8959,55.945899999999995
52.8959,55.883399999999995
52.9,55.4584
52.9,55.7084
52.9,55.570899999999995
52.9,55.68339999999999
51.4,55.41339999999999
50.4,55.41339999999999
49.9,55.41339999999999
49.9,55.21339999999999
48.9,55.2084
48.9,55.03339999999999
48.9,55.15839999999999
48.9,54.80839999999999
48.9,54.518399999999986
48.9,53.633399999999995
47.9,53.195899999999995
46.9,52.87089999999999
45.9,52.820899999999995
45.4,52.7709
45.4,52.695899999999995
45.4,52.18589999999999
45.4,51.78589999999999
45.4,50.71089999999999
45.4,50.010899999999985
45.4,49.830899999999986
45.4,49.62089999999999
45.4,45.399999999999984
45.4,44.95999999999999
45.4,45.01249999999998
45.4,44.84249999999999
45.9,44.827499999999986
45.9,44.577499999999986
45.9,44.33999999999999
46.4,44.27499999999999
47.4,44.32999999999999
48.4,44.25249999999998
48.4,44.08999999999999
48.4,43.874999999999986
49.4,43.52499999999999
50.9,43.187499999999986
50.9,42.947499999999984
50.9,42.49749999999999
50.9,42.35499999999999
50.9,42.04499999999999
50.9,41.457499999999996
50.9,41.24999999999999
50.9,41.207499999999996
50.9,41.07749999999999
50.9,41.07249999999999
50.9,40.96249999999999
50.9,40.727499999999985
50.9,40.77499999999999
50.9,40.23749999999999
50.9,40.289999999999985
50.9,40.16999999999999
50.0,40.08999999999999
50.0,50.0
50.0,49.635000000000005
50.0,49.6725
49.0,49.4675
49.0,49.475
49.0,49.495
49.0,49.47
47.0,49.6
47.0,49.725
47.0,49.775
47.0,49.8
46.5,49.775
46.5,49.565
46.5,49.3775
46.5,49.182500000000005
46.5,48.94500000000001
46.5,48.75
46.5,48.4
46.5,47.705
46.5,47.434999999999995
46.5,47.315
47.5,47.295
47.5,47.24
47.5,47.08
47.5,46.824999999999996
47.75,46.739999999999995
47.75,46.114999999999995
47.75,46.2025
47.75,45.9775
47.75,46.065
47.75,47.75
48.25,47.255
48.5,47.167500000000004
48.75,46.71
48.75,46.42
48.75,46.165000000000006
48.75,45.925000000000004
48.75,45.845000000000006
48.75,45.870000000000005
48.75,45.785000000000004
49.25,45.71
49.5,45.597500000000004
50.9,45.3575
50.7,45.12
50.7,44.9325
50.7,44.597500000000004
50.7,44.377500000000005
50.7,43.96750000000001
50.7,43.282500000000006
50.7,43.152499999999996
50.7,43.072500000000005
51.25,43.0375
51.25,43.0825
51.25,42.8725
51.25,42.6225
52.25,42.572500000000005
52.25,41.8725
52.75,41.86
52.75,41.785000000000004
52.75,41.8
52.75,52.75
52.75,52.385000000000005
52.75,52.4225
52.75,52.1725
52.75,52.1675
52.75,52.225
52.75,52.21500000000001
52.75,52.432500000000005
52.75,52.65
52.75,52.839999999999996
52.75,52.90999999999999
52.75,52.90999999999999
53.0,52.709999999999994
53.0,52.49749999999999
52.8,52.36
52.8,52.197500000000005
52.8,52.067499999999995
52.8,51.7725
52.8,51.1025
52.55,50.872499999999995
52.55,50.74249999999999
52.55,50.6975
52.3,50.6925
52.3,50.545
51.8,50.285
51.8,50.19
51.8,49.565
51.8,49.652499999999996
51.8,49.3775
51.8,49.4775
51.8,51.799999999999976
51.8,51.37499999999998
51.8,51.41249999999998
51.65,51.017499999999984
51.65,50.767499999999984
51.65,50.41749999999998
51.45,50.35749999999998
51.45,50.41499999999998
51.45,50.63749999999998
51.45,50.699999999999974
51.45,50.73999999999998
51.0,50.71499999999998
51.0,50.61499999999999
51.0,50.52999999999999
50.45,50.41749999999998
50.45,50.07249999999998
50.45,49.81999999999998
50.45,49.35999999999998
50.05,48.70999999999999
49.75,48.539999999999985
49.45,48.41749999999999
49.45,48.40249999999999
49.45,48.49499999999999
49.05,48.417499999999976
48.5,48.21499999999999
48.0,48.18249999999999
47.5,47.54499999999999
47.5,47.46749999999999
46.75,47.33249999999999
46.75,47.21499999999999
46.75,46.75
46.75,46.285000000000004
46.75,46.38
46.75,45.9975
46.75,45.894999999999996
46.75,45.695
46.75,45.457499999999996
46.75,45.427499999999995
46.75,45.3525
46.75,45.33
46.75,45.245
46.25,45.095
46.25,44.8125
44.5,44.4325
44.15,44.177499999999995
44.0,43.71
43.5,43.464999999999996
42.5,43.04
41.5,42.302499999999995
41.5,42.089999999999996
41.5,42.0025
41.5,42.022499999999994
41.5,42.0875
41.5,41.9325
41.5,41.677499999999995
41.5,41.53
41.5,40.805
41.5,40.667500000000004
41.5,40.4675
41.5,40.355000000000004
41.5,41.5
41.5,41.14
41.5,41.2275
41.5,41.0875
41.5,41.085
41.5,40.935
41.5,40.86
41.5,40.995
41.5,41.11
41.5,41.1525
41.5,41.1375
41.5,41.084999999999994
41.5,40.959999999999994
41.0,40.872499999999995
40.6,40.7125
39.8,40.5275
39.5,40.4525
39.5,40.165
39.5,39.599999999999994
39.5,39.489999999999995
38.5,39.489999999999995
38.0,39.53999999999999
37.2,39.584999999999994
37.2,39.512499999999996
37.2,39.43749999999999
37.2,39.4875
37.2,39.137499999999996
37.2,39.224999999999994
37.2,39.224999999999994
37.2,39.309999999999995
